order_id;customer_id;product_name;category;price;quantity;order_date;payment_method;country
120;1;Notebook;Stationery;45;5;2024/09/01;Wallet;Botswana
121;78;Notebook;Stationery;45;3;2024/04/20;Card;South Africa
122;11;Running Shoes;Sports;900;4;2024/05/15;EFT;Botswana
123;57;Water Bottle;Home;120;1;2024/02/06;Wallet;South Africa
124;18;T-shirt;Clothing;180;1;2024/04/04;EFT;Botswana
125;46;Desk Lamp;Home;220;5;2024/12/20;EFT;South Africa
126;73;Backpack;Accessories;500;5;2024/09/14;Cash;Botswana
127;34;Laptop Bag;Accessories;350;3;2024/03/01;Wallet;South Africa
128;44;Wireless Mouse;Electronics;150;1;2024/11/15;EFT;South Africa
129;17;Running Shoes;Sports;900;1;2024/06/05;Cash;Namibia
130;68;USB-C Cable;Electronics;80;5;2024/01/15;Wallet;Namibia
131;53;T-shirt;Clothing;180;3;2024/01/26;Cash;South Africa
132;76;T-shirt;Clothing;180;4;2024/12/13;Cash;Namibia
133;7;USB-C Cable;Electronics;80;4;2024/07/20;Cash;Botswana
134;2;T-shirt;Clothing;180;4;2024/08/10;Cash;Botswana
135;64;Wireless Mouse;Electronics;150;2;2024/04/09;Wallet;Botswana
136;76;Notebook;Stationery;45;5;2024/12/24;EFT;South Africa
137;8;T-shirt;Clothing;180;5;2024/10/08;Wallet;South Africa
138;27;Water Bottle;Home;120;3;2024/01/22;EFT;Botswana
139;28;Water Bottle;Home;120;2;2024/07/24;Card;Namibia
140;16;Backpack;Accessories;500;1;2024/07/28;Wallet;South Africa
141;65;Notebook;Stationery;45;4;2024/06/30;EFT;South Africa
142;59;Laptop Bag;Accessories;350;5;2024/08/24;Cash;Namibia
143;78;Desk Lamp;Home;220;2;2024/08/01;Cash;South Africa
144;59;Running Shoes;Sports;900;3;2024/08/07;Cash;South Africa
145;75;Laptop Bag;Accessories;350;3;2024/12/16;EFT;South Africa
146;5;Backpack;Accessories;500;1;2024/04/14;Cash;Botswana
147;32;Desk Lamp;Home;220;3;2024/01/15;Wallet;South Africa
148;34;Water Bottle;Home;120;3;2024/03/19;EFT;South Africa
149;64;Desk Lamp;Home;220;4;2024/02/20;EFT;South Africa
150;25;T-shirt;Clothing;180;5;2024/05/14;Card;Namibia
151;40;Notebook;Stationery;45;1;2024/04/02;Cash;Namibia
152;64;Wireless Mouse;Electronics;150;1;2024/08/28;Cash;Botswana
153;20;Notebook;Stationery;45;5;2024/02/24;Card;South Africa
154;71;USB-C Cable;Electronics;80;4;2024/05/23;EFT;South Africa
155;24;Bluetooth Headphones;Electronics;650;2;2024/09/24;Wallet;Namibia
156;30;Wireless Mouse;Electronics;150;3;2024/04/13;EFT;Botswana
157;26;Wireless Mouse;Electronics;150;5;2024/12/07;Wallet;South Africa
158;3;Running Shoes;Sports;900;5;2024/11/11;EFT;Namibia
159;76;T-shirt;Clothing;180;3;2024/02/26;Card;South Africa
160;73;Notebook;Stationery;45;2;2024/06/07;Wallet;Botswana
161;7;T-shirt;Clothing;180;3;2024/11/13;Cash;South Africa
162;60;Running Shoes;Sports;900;5;2024/12/16;Wallet;Namibia
163;68;Backpack;Accessories;500;5;2024/08/30;EFT;Namibia
164;46;USB-C Cable;Electronics;80;3;2024/11/28;Wallet;Botswana
165;35;USB-C Cable;Electronics;80;2;2024/11/20;Cash;Botswana
166;20;Running Shoes;Sports;900;3;2024/12/10;Wallet;Botswana
167;36;Bluetooth Headphones;Electronics;650;1;2024/10/15;EFT;South Africa
168;6;Running Shoes;Sports;900;1;2024/02/13;Card;South Africa
169;52;Desk Lamp;Home;220;4;2024/07/25;Cash;Botswana
170;80;Wireless Mouse;Electronics;150;2;2024/03/27;Cash;Botswana
171;66;Water Bottle;Home;120;1;2024/01/31;Card;South Africa
172;20;USB-C Cable;Electronics;80;4;2024/10/21;Wallet;South Africa
173;28;T-shirt;Clothing;180;2;2024/07/28;Wallet;Botswana
174;63;Bluetooth Headphones;Electronics;650;1;2024/06/21;EFT;Botswana
175;34;Water Bottle;Home;120;2;2024/01/17;Cash;Namibia
176;15;Desk Lamp;Home;220;1;2024/03/06;Card;South Africa
177;59;USB-C Cable;Electronics;80;1;2024/05/27;Wallet;South Africa
178;59;Water Bottle;Home;120;2;2024/03/14;Wallet;Botswana
179;26;Wireless Mouse;Electronics;150;2;2024/01/15;EFT;South Africa
180;42;Notebook;Stationery;45;2;2024/02/20;Card;South Africa
181;51;Wireless Mouse;Electronics;150;3;2024/04/29;Card;South Africa
182;12;Desk Lamp;Home;220;5;2024/01/02;Card;South Africa
183;23;Laptop Bag;Accessories;350;2;2024/03/15;Wallet;Botswana
184;40;Wireless Mouse;Electronics;150;4;2024/09/27;Cash;South Africa
185;75;T-shirt;Clothing;180;4;2024/08/25;Card;Botswana
186;60;Desk Lamp;Home;220;3;2024/10/16;Cash;Namibia
187;24;Desk Lamp;Home;220;2;2024/10/30;Card;South Africa
188;45;Desk Lamp;Home;220;3;2024/06/16;Cash;South Africa
189;42;Notebook;Stationery;45;2;2024/08/06;Cash;Namibia
190;46;Running Shoes;Sports;900;4;2024/12/28;Wallet;South Africa
191;69;USB-C Cable;Electronics;80;3;2024/01/14;EFT;South Africa
192;64;Water Bottle;Home;120;2;2024/09/13;EFT;South Africa
193;22;Desk Lamp;Home;220;4;2024/07/13;Cash;South Africa
194;69;Backpack;Accessories;500;5;2024/12/14;Wallet;Botswana
195;8;Desk Lamp;Home;220;5;2024/11/23;Cash;Botswana
196;71;Bluetooth Headphones;Electronics;650;2;2024/06/30;Card;Botswana
197;77;Wireless Mouse;Electronics;150;3;2024/03/06;EFT;Botswana
198;80;T-shirt;Clothing;180;5;2024/05/12;Cash;Namibia
199;1;USB-C Cable;Electronics;80;2;2024/08/21;Cash;South Africa
200;30;Bluetooth Headphones;Electronics;650;2;2024/08/04;Wallet;Namibia
